implementacao,recall_at_5,precision_at_5,mrr,tempo_indexacao_s,linhas_codigo,n_perguntas
producao_rag_hibrido,98.0,38.4,0.898,54.5,427,49
langchain_fiel_tfidf_uniao,98.0,38.4,0.898,22.82,170,49
langchain_bm25_rrf,98.0,49.8,0.897,20.13,127,49
